state,state_code,dayspostlegal,distance,income,legal,month,ppg,quality_score,quantity,year
Colorado,8,253,2343.937,48869,1,7,8.1130114,3,28.349524,2013
Colorado,8,201,1947.1979999999999,48869,1,5,7.0547924,2,28.349524,2013
Colorado,8,193,2343.937,48869,1,5,7.0547924,3,28.349524,2013
Colorado,8,297,2358.2251,48869,1,8,8.4657507,2,14.174762,2013
Colorado,8,200,2230.3601,48869,1,5,8.818489999999999,2,28.349524,2013
Colorado,8,166,2343.937,48869,1,4,10.582189,3,28.349524,2013
Colorado,8,141,2224.3569,48869,1,3,7.0547924,2,3.5436904,2013
Colorado,8,255,2296.5459,48869,1,7,4.0084047,3,4.9895163,2013
Colorado,8,151,2230.3601,48869,1,4,2.4691772000000003,2,28.349524,2013
Colorado,8,217,2343.937,48869,1,6,5.6438336,2,28.349524,2013
Colorado,8,193,2285.134,48869,1,5,7.0547924,3,7.087380900000001,2013
Colorado,8,90,2162.062,48869,1,1,5.996573400000001,3,28.349524,2013
Colorado,8,175,2343.937,48869,1,4,9.876709,3,3.5436904,2013
Colorado,8,306,2262.7981,48869,1,9,6.012607099999999,3,4.9895163,2013
Colorado,8,245,1947.1979999999999,48869,1,7,5.8202038,2,28.349524,2013
Colorado,8,186,2444.1411,48869,1,5,4.2328753,2,14.174762,2013
Colorado,8,279,2162.365,48869,1,8,4.9383545,2,28.349524,2013
Colorado,8,117,2343.937,48869,1,2,9.876709,3,3.5436904,2013
Colorado,8,245,2343.937,48869,1,7,2.786643,2,28.349524,2013
Colorado,8,173,2444.1411,48869,1,4,9.876709,3,28.349524,2013
Colorado,8,251,2387.7419,48869,1,7,11.0,2,1.0,2013
Colorado,8,324,2343.937,48869,1,9,6.1729430999999995,3,28.349524,2013
Colorado,8,101,2443.0171,48869,1,2,7.0547924,2,7.087380900000001,2013
Colorado,8,163,2375.9221,48869,1,4,8.0054379,2,19.986414,2013
Colorado,8,69,2343.937,48869,1,1,7.0547924,2,3.5436904,2013
Colorado,8,76,2230.3601,48869,1,1,1.2345886000000001,2,28.349524,2013
Colorado,8,116,2343.937,48869,1,2,9.876709,3,3.5436904,2013
Colorado,8,289,2343.937,48869,1,8,6.5256829000000005,2,28.349524,2013
Colorado,8,134,2268.8831,48869,1,3,1.7636981,2,14.174762,2013
Colorado,8,67,2343.937,48869,1,1,17.636979999999998,3,14.174762,2013
Colorado,8,162,2422.5779,48869,1,4,9.876709,3,7.087380900000001,2013
